profile,controller_mode,seed,duration_s,steps,rms_altitude_error_m,rms_airspeed_error_mps,rms_reference_error_m,mean_reference_error_m,max_reference_error_m,control_energy_integral,saturation_time_fraction,min_airspeed_after_10s_mps,max_abs_roll_rad,max_abs_pitch_rad,max_abs_load_factor_nz,mean_abs_load_factor_nz,safety_time_fraction,safety_violations,q_episode_return,q_table_size,q_updates,finite,scenario_name,scenario_description,target_altitude_m,circle_diameter_m,circle_airspeed_mps,circle_direction,steady_wind_n,steady_wind_e,steady_wind_d,gust_body_u,gust_body_v,gust_body_w,turbulence_std,residual_active_fraction,mean_hard_condition_score,mean_hjb_value,mean_hjb_advantage,mean_hjb_stage_cost,shield_active_fraction,mean_candidate_count
loiter_orbit,fixed_matlab_autopilot,4101,45.0,4500,79.89305652113119,9.373761032821818,108.88164014343303,59.93714670094652,462.3838701807617,4.242692395751912,0.0,29.726200135978043,1.1180811583994728,0.3665392726171643,8.0,1.0749100539962697,0.004,18,0.0,0,0,True,orbit_crosswind_turbulence_low_alt,Low-altitude 200 m orbit with maximum crosswind and turbulence.,180.0,200.0,30.0,1,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loiter_orbit,online_q_learning,4101,45.0,4500,49.339085583651915,12.389910148331643,0.7740517532486839,0.7498485557855769,1.0003042097475445,5.304314971954045,0.0,40.13488357265495,1.022523791055802,0.31256447432909734,6.533332988114559,1.0422162320237625,0.0,0,-2176.7067072609016,11,4500,True,orbit_crosswind_turbulence_low_alt,Low-altitude 200 m orbit with maximum crosswind and turbulence.,180.0,200.0,30.0,1,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.9797777777777777,2.2208752435136088,0.0,0.0,0.0,0.0,3.0
loiter_orbit,sharq_hjb,4101,45.0,4500,47.06728482889504,12.466223665696187,0.77274585478518,0.7479280335585148,1.0003047788824417,5.302997561089492,0.0,41.54674625921198,1.022010080216422,0.31277391648089126,6.512437050996202,1.0425499430242424,0.0,0,-2156.515942574872,11,4500,True,orbit_crosswind_turbulence_low_alt,Low-altitude 200 m orbit with maximum crosswind and turbulence.,180.0,200.0,30.0,1,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.9804444444444445,2.1985536613517835,1.752523673258192,-0.11749182207231429,1.767763673258192,0.09977777777777778,2.9002222222222223
high_speed_climb_s_turn_200,fixed_matlab_autopilot,4102,45.0,4500,96.322258918361,8.981468146131103,124.15100254118684,75.80621923447355,474.2755915462306,3.383455358314911,0.0,33.72144390092856,1.1373721781910906,0.35324519707473445,8.0,1.0150300676998418,0.0011111111111111111,5,0.0,0,0,True,tight_orbit_tailwind_gust,Tighter orbit and tailwind/gust stress after climb-out.,210.0,160.0,34.0,1,10.0,0.0,0.0,0.0,4.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_speed_climb_s_turn_200,online_q_learning,4102,45.0,4500,57.19260351961008,14.74303299396423,151.6700248610913,106.58249136905229,460.77835542805207,3.5110224492721693,0.0,33.7946904723827,1.1618036529364728,0.29690266666241294,6.586055858804523,1.0178055091815512,0.0,0,-6332.289040195174,38,4500,True,tight_orbit_tailwind_gust,Tighter orbit and tailwind/gust stress after climb-out.,210.0,160.0,34.0,1,10.0,0.0,0.0,0.0,4.0,0.0,1.4,0.7904444444444444,3.53753768823215,0.0,0.0,0.0,0.0,3.078888888888889
high_speed_climb_s_turn_200,sharq_hjb,4102,45.0,4500,56.837075518817215,14.72947834826953,149.94735350216212,96.60974957768731,479.05543841593817,3.4263327423280225,0.0,35.607184477135,1.1727336391360401,0.2966338805190554,6.314773847552459,1.0050728576006396,0.0,0,-5951.134106000087,39,4500,True,tight_orbit_tailwind_gust,Tighter orbit and tailwind/gust stress after climb-out.,210.0,160.0,34.0,1,10.0,0.0,0.0,0.0,4.0,0.0,1.4,0.8208888888888889,3.358993301575106,2.0130742219473747,-0.11574610177099819,2.0274742219473745,0.09733333333333333,3.0155555555555558
racetrack,fixed_matlab_autopilot,4103,50.0,5000,107.29572947607602,9.414328125592254,640.7678678661342,413.31935914109584,1628.4095197127153,4.762192136437806,0.0,46.50895503735763,1.3038311005304388,0.3733200212281122,5.852800982315929,1.0323571321000773,0.0,0,0.0,0,0,True,wide_orbit_headwind_energy,Wide faster orbit under strong headwind to stress total-energy recovery.,240.0,320.0,45.0,1,-10.0,0.0,0.0,-3.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
racetrack,online_q_learning,4103,50.0,5000,69.27067415101665,15.114524788537583,0.7397836675031103,0.698557931443118,0.9704553438987492,6.420739535688297,0.0,48.71996549523114,0.9801193650357622,0.2977310595528388,5.609292689687548,1.01672648409873,0.0,0,-3466.7030411789724,11,5000,True,wide_orbit_headwind_energy,Wide faster orbit under strong headwind to stress total-energy recovery.,240.0,320.0,45.0,1,-10.0,0.0,0.0,-3.5,0.0,0.0,1.5,0.9828,2.0128434950818375,0.0,0.0,0.0,0.0,3.0
racetrack,sharq_hjb,4103,50.0,5000,66.82513348990419,15.148148548340135,0.670347417236761,0.6286444250967921,0.9680353623699641,6.289920285237106,0.0,48.2667789473183,1.0111987436108927,0.2979986861055436,5.516104544078715,1.0175067817339543,0.0,0,-3431.088781167281,11,5000,True,wide_orbit_headwind_energy,Wide faster orbit under strong headwind to stress total-energy recovery.,240.0,320.0,45.0,1,-10.0,0.0,0.0,-3.5,0.0,0.0,1.5,0.984,1.978756004469459,2.7346205286751983,-0.1300560889692282,2.778801528675198,0.1198,2.8802
figure_eight,fixed_matlab_autopilot,4104,45.0,4500,99.75707270869258,10.839559977454895,98.93731411138559,42.38303764765933,460.97469052742946,3.703523369330107,0.022,31.815979293333978,1.0762625995380755,0.36389035166134454,8.0,1.052564359947772,0.0011111111111111111,5,0.0,0,0,True,reverse_orbit_shear,Reverse-turn orbit with vertical wind component and lateral shear proxy.,200.0,220.0,32.0,-1,0.0,-10.0,3.0,0.0,-4.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
figure_eight,online_q_learning,4104,45.0,4500,59.562769389738605,14.276559744395767,0.793953200968972,0.7733995732237319,1.0130659326156946,5.416182549608718,0.0,47.74325574465191,1.03952316888042,0.3098652775329303,6.677407540574365,1.0484774672234474,0.0,0,-2958.2617440900576,11,4500,True,reverse_orbit_shear,Reverse-turn orbit with vertical wind component and lateral shear proxy.,200.0,220.0,32.0,-1,0.0,-10.0,3.0,0.0,-4.0,0.0,1.2,0.9806666666666667,1.8300689462626416,0.0,0.0,0.0,0.0,3.0
figure_eight,sharq_hjb,4104,45.0,4500,57.2295054556447,14.304249632220365,0.7916056236902199,0.7700864760994626,1.0130668112439598,5.393679155575801,0.0,47.643167666131745,1.0356924065086885,0.31000822631560393,6.870306458508903,1.0487726158931057,0.0,0,-2945.6029564974333,11,4500,True,reverse_orbit_shear,Reverse-turn orbit with vertical wind component and lateral shear proxy.,200.0,220.0,32.0,-1,0.0,-10.0,3.0,0.0,-4.0,0.0,1.2,0.9817777777777777,1.796905410557003,2.541817359893087,-0.13606993057762234,2.585817359893087,0.13244444444444445,2.8675555555555556
