profile,controller_mode,seed,duration_s,steps,rms_altitude_error_m,rms_airspeed_error_mps,rms_reference_error_m,mean_reference_error_m,max_reference_error_m,control_energy_integral,saturation_time_fraction,min_airspeed_after_10s_mps,max_abs_roll_rad,max_abs_pitch_rad,max_abs_load_factor_nz,mean_abs_load_factor_nz,safety_time_fraction,safety_violations,q_episode_return,q_table_size,q_updates,finite,scenario_name,scenario_description,target_altitude_m,circle_diameter_m,circle_airspeed_mps,circle_direction,steady_wind_n,steady_wind_e,steady_wind_d,gust_body_u,gust_body_v,gust_body_w,turbulence_std,residual_active_fraction,mean_hard_condition_score,mean_hjb_value,mean_hjb_advantage,mean_hjb_stage_cost,shield_active_fraction,mean_candidate_count
loiter_orbit,online_q_learning,4101,45.0,4500,49.339085583651915,12.389910148331643,0.7740517532486839,0.7498485557855769,1.0003042097475445,5.304314971954045,0.0,40.13488357265495,1.022523791055802,0.31256447432909734,6.533332988114559,1.0422162320237625,0.0,0,-2176.7067072609016,11,4500,True,orbit_crosswind_turbulence_low_alt,Low-altitude 200 m orbit with maximum crosswind and turbulence.,180.0,200.0,30.0,1,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.9797777777777777,2.2208752435136088,0.0,0.0,0.0,0.0,3.0
high_speed_climb_s_turn_200,online_q_learning,4102,45.0,4500,57.19260351961008,14.74303299396423,151.6700248610913,106.58249136905229,460.77835542805207,3.5110224492721693,0.0,33.7946904723827,1.1618036529364728,0.29690266666241294,6.586055858804523,1.0178055091815512,0.0,0,-6332.289040195174,38,4500,True,tight_orbit_tailwind_gust,Tighter orbit and tailwind/gust stress after climb-out.,210.0,160.0,34.0,1,10.0,0.0,0.0,0.0,4.0,0.0,1.4,0.7904444444444444,3.53753768823215,0.0,0.0,0.0,0.0,3.078888888888889
racetrack,online_q_learning,4103,50.0,5000,69.27067415101665,15.114524788537583,0.7397836675031103,0.698557931443118,0.9704553438987492,6.420739535688297,0.0,48.71996549523114,0.9801193650357622,0.2977310595528388,5.609292689687548,1.01672648409873,0.0,0,-3466.7030411789724,11,5000,True,wide_orbit_headwind_energy,Wide faster orbit under strong headwind to stress total-energy recovery.,240.0,320.0,45.0,1,-10.0,0.0,0.0,-3.5,0.0,0.0,1.5,0.9828,2.0128434950818375,0.0,0.0,0.0,0.0,3.0
figure_eight,online_q_learning,4104,45.0,4500,59.562769389738605,14.276559744395767,0.793953200968972,0.7733995732237319,1.0130659326156946,5.416182549608718,0.0,47.74325574465191,1.03952316888042,0.3098652775329303,6.677407540574365,1.0484774672234474,0.0,0,-2958.2617440900576,11,4500,True,reverse_orbit_shear,Reverse-turn orbit with vertical wind component and lateral shear proxy.,200.0,220.0,32.0,-1,0.0,-10.0,3.0,0.0,-4.0,0.0,1.2,0.9806666666666667,1.8300689462626416,0.0,0.0,0.0,0.0,3.0
straight_climb_altitude_hold,online_q_learning,4105,55.0,5500,91.46237453311373,18.023288386540106,0.651688111181386,0.6353253287286031,0.887958412462257,7.55405303799317,0.0,55.03825447638873,0.7548951582175581,0.29568128943408933,6.6861479992383295,1.0102826517493646,0.0,0,-4954.02065079976,11,5500,True,high_altitude_headwind_climb,Higher target altitude and headwind during climb/straight/orbit transition.,300.0,260.0,40.0,1,-8.0,0.0,0.0,-4.0,0.0,2.5,1.8,0.9825454545454545,2.5344303199888527,0.0,0.0,0.0,0.0,3.0
takeoff_climbout_200,online_q_learning,4106,45.0,4500,47.900514586236966,13.955632561756843,0.707220043752711,0.6856990618224802,0.9129163489965332,5.512901902518527,0.0,49.34361673352662,0.11525465907030215,0.2970954931800511,7.536298601167781,1.0479997290454457,0.0013333333333333333,6,-3058.811431769526,12,4500,True,low_alt_vertical_gust_recovery,Lower-altitude reference with maximum vertical gust and turbulence.,140.0,180.0,28.0,1,0.0,0.0,0.0,-2.0,0.0,4.0,2.0,0.9691111111111111,2.2063961996211843,0.0,0.0,0.0,0.0,2.764666666666667
runway_takeoff_accel_200,online_q_learning,4107,50.0,5000,67.03774293957646,15.375067512371034,0.860310076407564,0.8414195996070543,1.1100477296273055,6.259072302808865,0.0,45.20684916161641,1.120560408146334,0.3017358055138072,6.607540354087756,1.0433430657997154,0.0,0,-3147.7713056414277,11,5000,True,fast_circle_mixed_crosswind,Fast 300 m circle with diagonal wind and gust coupling.,250.0,300.0,55.0,1,8.0,-8.0,0.0,3.0,-3.0,0.0,1.6,0.9816,2.0615972454685894,0.0,0.0,0.0,0.0,3.0
loiter_orbit,online_q_learning,4108,45.0,4500,62.23338831840269,14.969551710256612,0.7671400387260155,0.7451825124261702,1.0066076533964672,5.6492900311708345,0.0,50.10242701021836,0.8243954221746898,0.2995748054480668,7.415042323999391,1.4992942532869764,0.0011111111111111111,5,-3541.756750168733,11,4500,True,small_radius_crosswind_orbit,Small-radius orbit under lateral gusts; intentionally lateral-error dominated.,200.0,140.0,32.0,-1,0.0,10.0,0.0,0.0,-4.0,0.0,1.9,0.84,2.2547603096437387,0.0,0.0,0.0,0.0,3.0
fight_mode,online_q_learning,4109,55.0,5500,68.6098884668353,15.425599336972322,0.672848661235453,0.6529618449142932,0.849739979283874,7.362198512104309,0.0,50.48593027740924,0.6674820521207081,0.29733774309063077,5.934783020368048,1.076949735535203,0.0,0,-4248.319237009478,11,5500,True,fight_vertical_gust,Cinematic fight-mode S-turn with vertical gusts and headwind.,240.0,480.0,112.0,1,-9.0,0.0,0.0,0.0,0.0,4.0,1.6,0.9814545454545455,2.0786471208977355,0.0,0.0,0.0,0.0,3.0
fight_mode,online_q_learning,4110,55.0,5500,69.59951815252768,15.804635327235255,493.0751713203629,311.1079233206679,1079.3163341390498,11.717534186298339,0.0,51.24290090275172,0.8275765085347474,0.29846245591023235,8.0,1.4377982418506918,0.01890909090909091,104,-16205.523446527917,27,5500,True,fight_crosswind_turbulence,Fight-mode S-turn with maximum crosswind/turbulence and mixed gusts.,240.0,480.0,112.0,1,0.0,-10.0,0.0,-3.0,4.0,0.0,2.0,0.6683636363636364,5.454800360789941,0.0,0.0,0.0,0.0,3.0
