profile,controller_mode,seed,duration_s,steps,rms_altitude_error_m,rms_airspeed_error_mps,rms_reference_error_m,mean_reference_error_m,max_reference_error_m,control_energy_integral,saturation_time_fraction,min_airspeed_after_10s_mps,max_abs_roll_rad,max_abs_pitch_rad,max_abs_load_factor_nz,mean_abs_load_factor_nz,safety_time_fraction,safety_violations,q_episode_return,q_table_size,q_updates,finite,scenario_name,scenario_description,target_altitude_m,circle_diameter_m,circle_airspeed_mps,circle_direction,steady_wind_n,steady_wind_e,steady_wind_d,gust_body_u,gust_body_v,gust_body_w,turbulence_std,residual_active_fraction,mean_hard_condition_score,mean_hjb_value,mean_hjb_advantage,mean_hjb_stage_cost,shield_active_fraction,mean_candidate_count
loiter_orbit,fixed_matlab_autopilot,4101,45.0,4500,79.89305652113119,9.373761032821818,108.88164014343303,59.93714670094652,462.3838701807617,4.242692395751912,0.0,29.726200135978043,1.1180811583994728,0.3665392726171643,8.0,1.0749100539962697,0.004,18,0.0,0,0,True,orbit_crosswind_turbulence_low_alt,Low-altitude 200 m orbit with maximum crosswind and turbulence.,180.0,200.0,30.0,1,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_speed_climb_s_turn_200,fixed_matlab_autopilot,4102,45.0,4500,96.322258918361,8.981468146131103,124.15100254118684,75.80621923447355,474.2755915462306,3.383455358314911,0.0,33.72144390092856,1.1373721781910906,0.35324519707473445,8.0,1.0150300676998418,0.0011111111111111111,5,0.0,0,0,True,tight_orbit_tailwind_gust,Tighter orbit and tailwind/gust stress after climb-out.,210.0,160.0,34.0,1,10.0,0.0,0.0,0.0,4.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
racetrack,fixed_matlab_autopilot,4103,50.0,5000,107.29572947607602,9.414328125592254,640.7678678661342,413.31935914109584,1628.4095197127153,4.762192136437806,0.0,46.50895503735763,1.3038311005304388,0.3733200212281122,5.852800982315929,1.0323571321000773,0.0,0,0.0,0,0,True,wide_orbit_headwind_energy,Wide faster orbit under strong headwind to stress total-energy recovery.,240.0,320.0,45.0,1,-10.0,0.0,0.0,-3.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
figure_eight,fixed_matlab_autopilot,4104,45.0,4500,99.75707270869258,10.839559977454895,98.93731411138559,42.38303764765933,460.97469052742946,3.703523369330107,0.022,31.815979293333978,1.0762625995380755,0.36389035166134454,8.0,1.052564359947772,0.0011111111111111111,5,0.0,0,0,True,reverse_orbit_shear,Reverse-turn orbit with vertical wind component and lateral shear proxy.,200.0,220.0,32.0,-1,0.0,-10.0,3.0,0.0,-4.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
straight_climb_altitude_hold,fixed_matlab_autopilot,4105,55.0,5500,156.88323062651165,11.437674943458028,643.5425011054383,391.6027699173162,1664.469274054845,5.612357159252979,0.0,50.824771365087834,1.2315069997512496,0.36745780098131603,6.621783426129165,1.013296898199395,0.0003636363636363636,2,0.0,0,0,True,high_altitude_headwind_climb,Higher target altitude and headwind during climb/straight/orbit transition.,300.0,260.0,40.0,1,-8.0,0.0,0.0,-4.0,0.0,2.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
takeoff_climbout_200,fixed_matlab_autopilot,4106,45.0,4500,79.02370021607081,12.298239091796368,92.19811228170808,43.31843195486899,406.85676529264094,2.8965134036470563,0.0,27.572807605539225,1.025858745205414,0.3577712842906382,6.635107292189661,1.0312059373965794,0.00044444444444444447,2,0.0,0,0,True,low_alt_vertical_gust_recovery,Lower-altitude reference with maximum vertical gust and turbulence.,140.0,180.0,28.0,1,0.0,0.0,0.0,-2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runway_takeoff_accel_200,fixed_matlab_autopilot,4107,50.0,5000,114.02989473282219,8.87243679440696,538.1028703886201,324.66165117621347,1426.4600167758913,4.4488222146310346,0.0082,46.92439081599438,1.0001965351975188,0.36201805896439204,8.0,1.017441989453274,0.0024,12,0.0,0,0,True,fast_circle_mixed_crosswind,Fast 300 m circle with diagonal wind and gust coupling.,250.0,300.0,55.0,1,8.0,-8.0,0.0,3.0,-3.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loiter_orbit,fixed_matlab_autopilot,4108,45.0,4500,124.08038296809923,12.741444676492618,142.6837485297973,79.08474622164961,467.7561341661848,3.706641472216071,0.0,31.639981860228087,0.843427277261936,0.35736596137129295,7.395586064752571,1.016296486456815,0.002,9,0.0,0,0,True,small_radius_crosswind_orbit,Small-radius orbit under lateral gusts; intentionally lateral-error dominated.,200.0,140.0,32.0,-1,0.0,10.0,0.0,0.0,-4.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fight_mode,fixed_matlab_autopilot,4109,55.0,5500,130.44218177836734,12.094141642743896,1213.6763705043727,773.5909303008038,2922.9725893153204,12.741611172691089,0.0,56.13753804531387,1.8102578491305865,0.4323323210883278,8.0,1.467204532074359,0.043454545454545454,239,0.0,0,0,True,fight_vertical_gust,Cinematic fight-mode S-turn with vertical gusts and headwind.,240.0,480.0,112.0,1,-9.0,0.0,0.0,0.0,0.0,4.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fight_mode,fixed_matlab_autopilot,4110,55.0,5500,140.15389968902142,11.99297211202988,420.6904631134161,256.5118367713972,984.5661265222277,11.187244693074636,0.0,58.53038509468706,0.8575414637664314,0.36217794213529236,8.0,1.0742760001677545,0.004,22,0.0,0,0,True,fight_crosswind_turbulence,Fight-mode S-turn with maximum crosswind/turbulence and mixed gusts.,240.0,480.0,112.0,1,0.0,-10.0,0.0,-3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
